"lat","lon","APN","SEQUENCE","RDNUM","RDPREDIR","RDPREFIX","RDNAME","RDSUFFIX","RDPOSTDIR","COMMUNITY","ADDRCOMB"
"-121.076662180147","40.2364206851189","106181003000","0","5179",,"HIGHWAY","147",,,"EAST SHORE","5179 HIGHWAY 147"
"-121.076662214231","40.2360175216158","106181005000","0","5152",,"HIGHWAY","147",,,"EAST SHORE","5152 HIGHWAY 147"
"-121.076648440836","40.235635115336","106181006000","0","5131",,"HIGHWAY","147",,,"EAST SHORE","5131 HIGHWAY 147"
"-121.076484077545","40.2351565413269","106181008000","0","5087",,"HIGHWAY","147",,,"EAST SHORE","5087 HIGHWAY 147"
"-121.076497003841","40.2353057342541","106181010000","0","5109",,"HIGHWAY","147",,,"EAST SHORE","5109 HIGHWAY 147"
"-121.076523776818","40.235390988132","106181011000","0","5115",,"HIGHWAY","147",,,"EAST SHORE","5115 HIGHWAY 147"
"-121.07665687563","40.2362650949988","106181012000","0","5169",,"HIGHWAY","147",,,"EAST SHORE","5169 HIGHWAY 147"
"-121.075349888271","40.2363341530365","106182002000","0","5176",,"HIGHWAY","147",,,"EAST SHORE","5176 HIGHWAY 147"
"-121.075373187035","40.235897340006","106182003000","0","5140",,"HIGHWAY","147",,,"EAST SHORE","5140 HIGHWAY 147"
"-121.075413907399","40.2351535542646","106182004000","0","5098",,"HIGHWAY","147",,,"EAST SHORE","5098 HIGHWAY 147"
"-121.075798924878","40.2360889405256","106182005000","0","5160",,"HIGHWAY","147",,,"EAST SHORE","5160 HIGHWAY 147"
"-121.075717791096","40.2366322921713","106182006000","0","5194",,"HIGHWAY","147",,,"EAST SHORE","5194 HIGHWAY 147"
"-121.076007987617","40.2237730751291","106191001000","0","4275",,"HIGHWAY","147",,,"EAST SHORE","4275 HIGHWAY 147"
"-121.076126718289","40.2233708791576","106191002000","0","4247",,"HIGHWAY","147",,,"EAST SHORE","4247 HIGHWAY 147"
"-121.076020316622","40.2229396638733","106191003000","0","4217",,"HIGHWAY","147",,,"EAST SHORE","4217 HIGHWAY 147"
"-121.07589806421","40.2226867016269","106191004000","0","4201",,"HIGHWAY","147",,,"EAST SHORE","4201 HIGHWAY 147"
"-121.074726288011","40.2222776289525","106192013000","0","4156",,"HIGHWAY","147",,,"EAST SHORE","4156 HIGHWAY 147"
